Id,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,modularity_class,betweenesscentrality,isfraud
43619,1,0,1,249081,0,249081,0,0,95,0,1
96342,1,0,1,249082,0,249082,0,0,95,0,1
27404,1,0,1,249082,0,249082,0,0,95,0,1
1599,1,0,1,249082,0,249082,0,0,95,0,1
98501,1,0,1,249082,0,249082,0,0,95,0,1
94376,1,0,1,249082,0,249082,0,0,95,0,1
44546,1,0,1,249082,0,249082,0,0,95,0,1
6724,1,0,1,249082,0,249082,0,0,95,0,1
10834,1,0,1,249082,0,249082,0,0,95,0,1
88949,1,0,1,249082,0,249082,0,0,95,0,1
54547,1,0,1,249082,0,249082,0,0,95,0,1
76270,1,0,1,249082,0,249082,0,0,95,0,1
64321,1,0,1,249082,0,249082,0,0,95,0,1
73770,1,0,1,249082,0,249082,0,0,95,0,1
39477,1,0,1,249082,0,249082,0,0,95,0,1
29501,1,0,1,249082,0,249082,0,0,95,0,1
2174,1,0,1,249082,0,249082,0,0,95,0,1
83480,1,0,1,249082,0,249082,0,0,95,0,1
49193,1,0,1,249082,0,249082,0,0,95,0,1
33203,0,9,9,0,7943826,7943826,2,0.909091,79,0,0
7242,1,0,1,882647,0,882647,0,0,79,0,1
784,1,0,1,882647,0,882647,0,0,79,0,1
65196,1,0,1,882647,0,882647,0,0,79,0,1
80364,1,0,1,882647,0,882647,0,0,79,0,1
8056,1,1,2,882647,3174284,4056931,1,1,79,0,1
69621,1,0,1,882647,0,882647,0,0,79,0,1
97479,1,0,1,882648,0,882648,0,0,79,0,1
34537,1,0,1,882648,0,882648,0,0,79,0,1
15088,1,0,1,882648,0,882648,0,0,79,0,1
41969,0,5,5,0,9175133,9175133,2,0.857143,150,0,0
65969,1,0,1,1835026,0,1835026,0,0,150,0,1
13881,1,0,1,1835026,0,1835026,0,0,150,0,1
76026,1,1,2,1835027,5217932,7052959,1,1,150,0,1
92875,1,0,1,1835027,0,1835027,0,0,150,0,1
69841,1,0,1,1835027,0,1835027,0,0,150,0,1
37177,1,25,26,1296433,10998274,12294707,4,0.733333,131,0.000008,0
21392,1,0,1,362164,0,362164,0,0,131,0,1
90607,1,0,1,362164,0,362164,0,0,131,0,1
88400,1,0,1,362164,0,362164,0,0,131,0,1
70964,2,0,2,5974753,0,5974753,0,0,133,0,1
63029,1,0,1,362164,0,362164,0,0,131,0,1
80337,1,0,1,362164,0,362164,0,0,131,0,1
14656,1,1,2,362164,518690,880854,1,1,131,0,1
89730,1,0,1,362164,0,362164,0,0,131,0,1
93055,1,0,1,362164,0,362164,0,0,131,0,1
68699,1,0,1,362164,0,362164,0,0,131,0,1
68229,1,0,1,362164,0,362164,0,0,131,0,1
13407,1,0,1,362164,0,362164,0,0,131,0,1
887,1,0,1,362164,0,362164,0,0,131,0,1
48011,1,0,1,362164,0,362164,0,0,131,0,1
3092,1,2,3,362164,1433974,1796138,3,0.555556,131,0.000002,1
57772,1,0,1,362164,0,362164,0,0,131,0,1
31269,1,0,1,362164,0,362164,0,0,131,0,1
69355,1,0,1,362164,0,362164,0,0,131,0,1
9363,1,0,1,362164,0,362164,0,0,131,0,1
30714,1,1,2,362164,106907,469071,1,1,131,0,1
39631,1,0,1,362164,0,362164,0,0,131,0,1
33994,1,0,1,362164,0,362164,0,0,131,0,1
96016,1,0,1,362164,0,362164,0,0,131,0,1
67648,1,0,1,362164,0,362164,0,0,131,0,1
31439,1,15,16,4007857,11128279,15136136,1,1,54,0.000006,0
89434,1,0,1,554345,0,554345,0,0,54,0,1
90146,2,0,2,3163820,0,3163820,0,0,54,0,1
8611,1,0,1,554345,0,554345,0,0,54,0,1
3183,1,0,1,554345,0,554345,0,0,54,0,1
18533,1,0,1,554345,0,554345,0,0,54,0,1
6470,1,0,1,554345,0,554345,0,0,54,0,1
27405,1,0,1,554345,0,554345,0,0,54,0,1
97140,1,0,1,554345,0,554345,0,0,54,0,1
58911,1,0,1,554346,0,554346,0,0,54,0,1
20213,1,0,1,554346,0,554346,0,0,54,0,1
17450,1,0,1,554346,0,554346,0,0,54,0,1
63072,1,0,1,554346,0,554346,0,0,54,0,1
84089,1,0,1,554346,0,554346,0,0,54,0,1
42081,1,0,1,554346,0,554346,0,0,54,0,1
84352,0,11,11,0,7040515,7040515,1,1,1,0,0
79147,1,0,1,640046,0,640046,0,0,1,0,1
80053,1,0,1,640046,0,640046,0,0,1,0,1
61309,1,0,1,640047,0,640047,0,0,1,0,1
54502,1,0,1,640047,0,640047,0,0,1,0,1
94793,1,0,1,640047,0,640047,0,0,1,0,1
24728,1,0,1,640047,0,640047,0,0,1,0,1
36919,1,0,1,640047,0,640047,0,0,1,0,1
46738,1,0,1,640047,0,640047,0,0,1,0,1
62404,1,0,1,640047,0,640047,0,0,1,0,1
49860,1,0,1,640047,0,640047,0,0,1,0,1
9117,1,0,1,640047,0,640047,0,0,1,0,1
95615,0,12,12,0,8506735,8506735,1,1,86,0,0
43405,1,0,1,708894,0,708894,0,0,86,0,1
97885,1,0,1,708894,0,708894,0,0,86,0,1
15768,1,0,1,708894,0,708894,0,0,86,0,1
13218,1,0,1,708894,0,708894,0,0,86,0,1
93239,1,0,1,708894,0,708894,0,0,86,0,1
20217,1,0,1,708895,0,708895,0,0,86,0,1
13591,1,0,1,708895,0,708895,0,0,86,0,1
65665,1,0,1,708895,0,708895,0,0,86,0,1
27376,1,0,1,708895,0,708895,0,0,86,0,1
1638,1,0,1,708895,0,708895,0,0,86,0,1
35853,1,0,1,708895,0,708895,0,0,86,0,1
70742,2,0,2,4778180,0,4778180,0,0,86,0,1
41220,1,4,5,5901524,7077421,12978945,1,1,166,0.000001,0
39061,1,0,1,1769355,0,1769355,0,0,166,0,1
48727,1,0,1,1769355,0,1769355,0,0,166,0,1
21809,1,0,1,1769355,0,1769355,0,0,166,0,1
26639,1,0,1,1769356,0,1769356,0,0,166,0,1
39284,0,29,29,0,7950961,7950961,2,0.967742,2,0,0
62427,1,0,1,274171,0,274171,0,0,2,0,1
87467,1,0,1,274171,0,274171,0,0,2,0,1
53948,1,0,1,274171,0,274171,0,0,2,0,1
5032,1,0,1,274171,0,274171,0,0,2,0,1
68774,1,0,1,274171,0,274171,0,0,2,0,1
40321,1,0,1,274171,0,274171,0,0,2,0,1
95596,1,0,1,274171,0,274171,0,0,2,0,1
2955,1,0,1,274171,0,274171,0,0,2,0,1
91794,1,0,1,274171,0,274171,0,0,2,0,1
45479,1,0,1,274171,0,274171,0,0,2,0,1
63272,1,0,1,274171,0,274171,0,0,2,0,1
67144,1,0,1,274171,0,274171,0,0,2,0,1
7228,1,0,1,274171,0,274171,0,0,2,0,1
47704,1,0,1,274171,0,274171,0,0,2,0,1
74691,1,0,1,274171,0,274171,0,0,2,0,1
4429,1,0,1,274171,0,274171,0,0,2,0,1
13670,1,0,1,274171,0,274171,0,0,2,0,1
85867,1,0,1,274171,0,274171,0,0,2,0,1
18192,1,1,2,274171,2412412,2686583,1,1,2,0,1
28414,1,0,1,274171,0,274171,0,0,2,0,1
55092,1,0,1,274171,0,274171,0,0,2,0,1
4394,1,0,1,274171,0,274171,0,0,2,0,1
74901,1,0,1,274171,0,274171,0,0,2,0,1
2683,1,0,1,274171,0,274171,0,0,2,0,1
87826,1,0,1,274171,0,274171,0,0,2,0,1
13963,1,0,1,274171,0,274171,0,0,2,0,1
29925,1,0,1,274171,0,274171,0,0,2,0,1
61097,2,0,2,2775928,0,2775928,0,0,2,0,1
13638,1,0,1,274172,0,274172,0,0,2,0,1
82688,1,26,27,3529488,8260890,11790378,2,0.964286,54,0.000007,0
77924,1,0,1,292038,0,292038,0,0,54,0,1
91706,1,0,1,292038,0,292038,0,0,54,0,1
87880,1,0,1,292038,0,292038,0,0,54,0,1
18305,1,0,1,292038,0,292038,0,0,54,0,1
74062,1,0,1,292038,0,292038,0,0,54,0,1
83006,1,0,1,292038,0,292038,0,0,54,0,1
39778,1,0,1,292038,0,292038,0,0,54,0,1
32368,1,0,1,292038,0,292038,0,0,54,0,1
12943,1,0,1,292038,0,292038,0,0,54,0,1
67262,1,0,1,292038,0,292038,0,0,54,0,1
48186,1,0,1,292038,0,292038,0,0,54,0,1
6015,1,0,1,292038,0,292038,0,0,54,0,1
34921,1,0,1,292038,0,292038,0,0,54,0,1
28976,1,0,1,292038,0,292038,0,0,54,0,1
16779,1,0,1,292038,0,292038,0,0,54,0,1
88240,1,0,1,292038,0,292038,0,0,54,0,1
4870,1,0,1,292038,0,292038,0,0,54,0,1
32981,1,0,1,292038,0,292038,0,0,54,0,1
75676,1,0,1,292038,0,292038,0,0,54,0,1
69388,1,0,1,292038,0,292038,0,0,54,0,1
97318,1,0,1,292038,0,292038,0,0,54,0,1
42411,1,0,1,292039,0,292039,0,0,54,0,1
13222,1,0,1,292039,0,292039,0,0,54,0,1
99496,1,0,1,292039,0,292039,0,0,54,0,1
1932,1,0,1,292039,0,292039,0,0,54,0,1
30965,1,22,23,4588859,12634359,17223218,4,0.7,131,0.000007,0
80135,1,0,1,398394,0,398394,0,0,131,0,1
88488,1,0,1,398394,0,398394,0,0,131,0,1
57075,1,0,1,398394,0,398394,0,0,131,0,1
40167,1,1,2,398394,3422485,3820879,1,1,131,0,1
24981,1,0,1,398394,0,398394,0,0,131,0,1
57149,1,0,1,398394,0,398394,0,0,131,0,1
14030,1,0,1,398394,0,398394,0,0,131,0,1
45553,1,0,1,398394,0,398394,0,0,131,0,1
80750,1,0,1,398394,0,398394,0,0,131,0,1
49600,1,0,1,398394,0,398394,0,0,131,0,1
93262,1,0,1,398394,0,398394,0,0,131,0,1
25307,1,0,1,398394,0,398394,0,0,131,0,1
63112,1,0,1,398394,0,398394,0,0,131,0,1
14080,1,0,1,398394,0,398394,0,0,131,0,1
95733,1,0,1,398394,0,398394,0,0,131,0,1
63228,1,0,1,398394,0,398394,0,0,131,0,1
4845,1,0,1,398394,0,398394,0,0,131,0,1
45785,1,0,1,398395,0,398395,0,0,131,0,1
74470,1,0,1,398395,0,398395,0,0,131,0,1
32822,1,1,2,398395,2623132,3021527,3,0.454545,131,0.000002,1
23309,1,0,1,398395,0,398395,0,0,131,0,1
72032,0,21,21,0,8229204,8229204,9,0.446154,16,0,0
68884,1,0,1,391866,0,391866,0,0,16,0,1
35234,1,0,1,391866,0,391866,0,0,16,0,1
44712,1,0,1,391866,0,391866,0,0,16,0,1
21863,1,0,1,391867,0,391867,0,0,16,0,1
30284,1,0,1,391867,0,391867,0,0,16,0,1
68776,1,0,1,391867,0,391867,0,0,16,0,1
77528,1,0,1,391867,0,391867,0,0,16,0,1
13268,1,0,1,391867,0,391867,0,0,16,0,1
12595,1,0,1,391867,0,391867,0,0,16,0,1
27847,1,0,1,391867,0,391867,0,0,16,0,1
15477,1,0,1,391867,0,391867,0,0,16,0,1
57885,1,0,1,391867,0,391867,0,0,16,0,1
76683,1,0,1,391867,0,391867,0,0,16,0,1
45427,1,0,1,391867,0,391867,0,0,16,0,1
92818,1,0,1,391867,0,391867,0,0,16,0,1
49478,1,0,1,391867,0,391867,0,0,16,0,1
67354,1,0,1,391867,0,391867,0,0,16,0,1
44038,2,1,3,7405365,7013498,14418863,8,0.222222,16,0.000014,1
31247,1,0,1,391867,0,391867,0,0,16,0,1
82095,1,0,1,391867,0,391867,0,0,16,0,1
63396,1,0,1,391867,0,391867,0,0,16,0,1
24041,0,23,23,0,7415504,7415504,3,0.823529,242,0,0
96977,1,0,1,322413,0,322413,0,0,242,0,1
33426,1,0,1,322413,0,322413,0,0,242,0,1
46541,1,0,1,322413,0,322413,0,0,242,0,1
23893,1,0,1,322413,0,322413,0,0,242,0,1
86853,1,0,1,322413,0,322413,0,0,242,0,1
45493,1,0,1,322413,0,322413,0,0,242,0,1
33601,1,0,1,322413,0,322413,0,0,242,0,1
16524,2,0,2,6741478,0,6741478,0,0,242,0,1
56913,1,0,1,322413,0,322413,0,0,242,0,1
36891,1,1,2,322413,1755132,2077545,1,1,242,0,1
18626,1,1,2,322413,4629576,4951989,2,0.666667,242,0,1
1666,1,0,1,322413,0,322413,0,0,242,0,1
34756,1,0,1,322413,0,322413,0,0,242,0,1
66669,1,0,1,322413,0,322413,0,0,242,0,1
55422,1,0,1,322413,0,322413,0,0,242,0,1
39060,2,1,3,4662142,5993255,10655397,1,1,242,0,1
88176,1,0,1,322413,0,322413,0,0,242,0,1
21197,1,1,2,322413,525626,848039,1,1,242,0,1
92217,1,0,1,322414,0,322414,0,0,242,0,1
39661,1,0,1,322414,0,322414,0,0,242,0,1
56984,1,0,1,322414,0,322414,0,0,242,0,1
9570,1,0,1,322414,0,322414,0,0,242,0,1
49937,1,0,1,322414,0,322414,0,0,242,0,1
82410,1,12,13,4040534,8565707,12606241,3,0.789474,125,0.000002,0
59581,1,0,1,713808,0,713808,0,0,125,0,1
21955,1,1,2,713809,2808503,3522312,2,0.666667,125,0.000001,1
15915,1,0,1,713809,0,713809,0,0,125,0,1
94012,1,0,1,713809,0,713809,0,0,125,0,1
25362,1,0,1,713809,0,713809,0,0,125,0,1
27412,1,0,1,713809,0,713809,0,0,125,0,1
79849,1,0,1,713809,0,713809,0,0,125,0,1
26063,1,0,1,713809,0,713809,0,0,125,0,1
77984,1,0,1,713809,0,713809,0,0,125,0,1
41940,2,0,2,3528211,0,3528211,0,0,125,0,1
88645,1,1,2,713809,93827,807636,1,1,125,0,1
87881,1,0,1,713809,0,713809,0,0,125,0,1
24441,0,3,3,0,8862558,8862558,1,1,3,0,0
12242,1,0,1,2954186,0,2954186,0,0,3,0,1
23236,1,0,1,2954186,0,2954186,0,0,3,0,1
94201,1,0,1,2954186,0,2954186,0,0,3,0,1
43439,2,18,20,10640632,9050904,19691536,1,1,161,0.000011,0
91672,1,0,1,502828,0,502828,0,0,161,0,1
36605,1,0,1,502828,0,502828,0,0,161,0,1
82179,1,0,1,502828,0,502828,0,0,161,0,1
12117,1,0,1,502828,0,502828,0,0,161,0,1
53631,1,0,1,502828,0,502828,0,0,161,0,1
48679,1,0,1,502828,0,502828,0,0,161,0,1
13115,1,0,1,502828,0,502828,0,0,161,0,1
63955,1,0,1,502828,0,502828,0,0,161,0,1
16638,1,0,1,502828,0,502828,0,0,161,0,1
46827,1,0,1,502828,0,502828,0,0,161,0,1
46060,1,0,1,502828,0,502828,0,0,161,0,1
60266,1,0,1,502828,0,502828,0,0,161,0,1
5029,1,0,1,502828,0,502828,0,0,161,0,1
62290,1,0,1,502828,0,502828,0,0,161,0,1
89414,1,0,1,502828,0,502828,0,0,161,0,1
94137,1,0,1,502828,0,502828,0,0,161,0,1
58551,1,0,1,502828,0,502828,0,0,161,0,1
71167,2,0,2,2608933,0,2608933,0,0,161,0,1
69208,0,24,24,0,8935705,8935705,22,0.187151,161,0,0
42692,1,0,1,372321,0,372321,0,0,161,0,1
54010,1,0,1,372321,0,372321,0,0,161,0,1
44409,1,0,1,372321,0,372321,0,0,161,0,1
94632,1,0,1,372321,0,372321,0,0,161,0,1
51747,1,0,1,372321,0,372321,0,0,161,0,1
21453,1,0,1,372321,0,372321,0,0,161,0,1
42627,1,1,2,372321,2608003,2980324,3,0.350877,161,0.000003,1
97637,1,0,1,372321,0,372321,0,0,161,0,1
66062,1,0,1,372321,0,372321,0,0,161,0,1
71259,1,0,1,372321,0,372321,0,0,161,0,1
55007,1,0,1,372321,0,372321,0,0,161,0,1
62050,1,0,1,372321,0,372321,0,0,161,0,1
23494,2,0,2,3096825,0,3096825,0,0,161,0,1
38720,1,0,1,372321,0,372321,0,0,161,0,1
24349,1,0,1,372321,0,372321,0,0,161,0,1
7654,2,2,4,7795277,8790370,16585647,21,0.098291,28,0.000012,1
85699,1,0,1,372321,0,372321,0,0,161,0,1
98036,1,0,1,372321,0,372321,0,0,161,0,1
32455,1,0,1,372321,0,372321,0,0,161,0,1
91032,1,0,1,372321,0,372321,0,0,161,0,1
6897,1,0,1,372321,0,372321,0,0,161,0,1
51077,1,0,1,372321,0,372321,0,0,161,0,1
13633,1,0,1,372321,0,372321,0,0,161,0,1
48273,1,0,1,372322,0,372322,0,0,161,0,1
71475,0,8,8,0,9233815,9233815,1,1,99,0,0
10234,1,0,1,1002226,0,1002226,0,0,99,0,1
75572,1,0,1,1002226,0,1002226,0,0,99,0,1
50788,1,0,1,1002226,0,1002226,0,0,99,0,1
8847,1,0,1,1002226,0,1002226,0,0,99,0,1
34483,1,0,1,1002227,0,1002227,0,0,99,0,1
72492,1,0,1,1002227,0,1002227,0,0,99,0,1
54332,1,0,1,1002227,0,1002227,0,0,99,0,1
75076,1,19,20,4128552,7980840,12109392,3,0.875,77,0.000003,0
30252,1,0,1,420044,0,420044,0,0,77,0,1
50080,1,0,1,420044,0,420044,0,0,77,0,1
98057,1,0,1,420044,0,420044,0,0,77,0,1
30180,1,0,1,420044,0,420044,0,0,77,0,1
92527,1,0,1,420044,0,420044,0,0,77,0,1
24618,1,0,1,420044,0,420044,0,0,77,0,1
6644,1,0,1,420044,0,420044,0,0,77,0,1
24841,1,0,1,420044,0,420044,0,0,77,0,1
20067,1,0,1,420044,0,420044,0,0,77,0,1
6646,1,0,1,420044,0,420044,0,0,77,0,1
90581,1,0,1,420044,0,420044,0,0,77,0,1
50112,1,0,1,420044,0,420044,0,0,77,0,1
75668,1,0,1,420044,0,420044,0,0,77,0,1
66439,1,0,1,420044,0,420044,0,0,77,0,1
16595,2,1,3,5195713,5178964,10374677,2,0.666667,77,0.000001,1
71373,1,0,1,420045,0,420045,0,0,77,0,1
49051,1,0,1,420045,0,420045,0,0,77,0,1
34544,2,0,2,4260649,0,4260649,0,0,77,0,1
1512,1,0,1,420045,0,420045,0,0,77,0,1
82930,0,14,14,0,19961874,19961874,2,0.888889,56,0,0
72794,1,0,1,779884,0,779884,0,0,56,0,1
43090,1,0,1,779884,0,779884,0,0,56,0,1
16422,1,1,2,779884,222032,1001916,1,1,56,0,1
85116,1,0,1,779884,0,779884,0,0,56,0,1
83961,1,0,1,779884,0,779884,0,0,56,0,1
29156,1,0,1,779884,0,779884,0,0,56,0,1
89577,1,0,1,779884,0,779884,0,0,56,0,1
45031,1,0,1,779884,0,779884,0,0,56,0,1
67096,1,0,1,779885,0,779885,0,0,56,0,1
13919,0,24,24,0,7757953,7757953,2,0.961538,39,0,0
53522,1,0,1,323248,0,323248,0,0,39,0,1
61430,1,0,1,323248,0,323248,0,0,39,0,1
33512,1,0,1,323248,0,323248,0,0,39,0,1
45513,1,0,1,323248,0,323248,0,0,39,0,1
90767,1,0,1,323248,0,323248,0,0,39,0,1
11846,1,0,1,323248,0,323248,0,0,39,0,1
25667,1,0,1,323248,0,323248,0,0,39,0,1
27636,1,1,2,323248,594523,917771,1,1,39,0,1
63975,1,0,1,323248,0,323248,0,0,39,0,1
50139,1,0,1,323248,0,323248,0,0,39,0,1
86945,1,0,1,323248,0,323248,0,0,39,0,1
87092,1,0,1,323248,0,323248,0,0,39,0,1
68015,1,0,1,323248,0,323248,0,0,39,0,1
79614,1,0,1,323248,0,323248,0,0,39,0,1
31440,1,0,1,323248,0,323248,0,0,39,0,1
57534,1,0,1,323248,0,323248,0,0,39,0,1
26472,1,0,1,323248,0,323248,0,0,39,0,1
6984,1,0,1,323248,0,323248,0,0,39,0,1
33911,1,0,1,323248,0,323248,0,0,39,0,1
44716,1,0,1,323248,0,323248,0,0,39,0,1
57919,1,0,1,323248,0,323248,0,0,39,0,1
95350,1,0,1,323248,0,323248,0,0,39,0,1
95241,1,0,1,323248,0,323248,0,0,39,0,1
59719,1,0,1,323249,0,323249,0,0,39,0,1
42454,0,1,1,0,7270189,7270189,6,0.243902,4,0,0
32893,1,1,2,7270189,7270189,14540378,5,0.290323,4,0.000001,0
30530,1,1,2,7270189,7270189,14540378,4,0.363636,4,0.000002,1
36647,1,2,3,7270189,11523945,18794134,3,0.5,4,0.000003,1
64269,1,2,3,7270189,12260878,19531067,2,0.666667,4,0.000002,1
48051,1,1,2,7270189,7270189,14540378,1,1,4,0.000001,1
1970,1,0,1,7270189,0,7270189,0,0,4,0,1
44881,1,1,2,381968,5983503,6365471,12,0.141593,5,0.000004,0
76348,1,1,2,5983503,5983503,11967006,11,0.154639,5,0.000006,0
96871,1,1,2,5983503,5983503,11967006,10,0.170732,5,0.000007,1
70897,1,1,2,5983503,5983503,11967006,9,0.191176,5,0.000008,1
98417,1,1,2,5983503,5983503,11967006,8,0.218182,5,0.000009,1
77678,1,1,2,5983503,5983503,11967006,7,0.255814,5,0.00001,1
98047,2,2,4,6687851,9563064,16250915,6,0.3125,5,0.000013,1
60563,1,1,2,5983503,5983503,11967006,2,0.666667,5,0.000003,1
414,1,1,2,5983503,5983503,11967006,1,1,5,0.000002,1
84965,1,0,1,5983503,0,5983503,0,0,5,0,1
58314,0,1,1,0,6944610,6944610,23,0.083333,6,0,0
96855,1,1,2,6944610,6944610,13889220,22,0.086957,6,0.000003,0
92885,1,1,2,6944610,6944610,13889220,21,0.090909,6,0.000005,1
85539,2,1,3,9176281,6944610,16120891,20,0.095238,6,0.000013,1
74228,1,1,2,6944610,6944610,13889220,19,0.1,6,0.000014,1
35778,1,1,2,6944610,6944610,13889220,18,0.105263,6,0.000016,1
66713,1,1,2,6944610,6944610,13889220,17,0.111111,6,0.000017,1
8567,1,1,2,6944610,6944610,13889220,16,0.117647,6,0.000018,1
87555,1,1,2,6944610,6944610,13889220,15,0.125,6,0.000019,1
91021,1,1,2,6944610,6944610,13889220,14,0.133333,6,0.000019,1
59712,1,1,2,6944610,6944610,13889220,13,0.142857,6,0.00002,1
33274,1,1,2,6944610,6944610,13889220,12,0.153846,6,0.00002,1
95242,1,1,2,6944610,6944610,13889220,11,0.166667,6,0.000019,1
70731,1,1,2,6944610,6944610,13889220,10,0.181818,6,0.000019,1
41780,1,1,2,6944610,6944610,13889220,9,0.2,6,0.000018,1
35225,1,1,2,6944610,6944610,13889220,8,0.222222,6,0.000017,1
47114,1,1,2,6944610,6944610,13889220,7,0.25,6,0.000016,1
13272,1,1,2,6944610,6944610,13889220,6,0.285714,6,0.000014,1
5645,1,1,2,6944610,6944610,13889220,5,0.333333,6,0.000013,1
70436,1,1,2,6944610,6944610,13889220,4,0.4,6,0.000011,1
2802,1,1,2,6944610,6944610,13889220,3,0.5,6,0.000008,1
87433,1,1,2,6944610,6944610,13889220,2,0.666667,6,0.000006,1
90992,1,1,2,6944610,6944610,13889220,1,1,6,0.000003,1
4943,1,0,1,6944610,0,6944610,0,0,6,0,1
