typeofaction,sourceid,destinationid,amountofmoney,date,isfraud,typeoffraud
cash-in,33203,34537,882648,2019-06-11 14:44:00,1,type1
cash-in,33203,15088,882648,2019-07-17 11:31:00,1,type1
cash-in,41969,65969,1835026,2019-03-26 12:37:00,1,type1
cash-in,41969,13881,1835026,2019-02-26 14:29:00,1,type1
cash-in,41969,76026,1835027,2019-07-05 09:53:00,1,type1
cash-in,41969,92875,1835027,2019-04-26 14:31:00,1,type1
cash-in,41969,69841,1835027,2019-07-09 14:27:00,1,type1
cash-in,37177,21392,362164,2019-03-09 12:03:00,1,type1
cash-in,37177,90607,362164,2019-05-19 08:37:00,1,type1
cash-in,37177,88400,362164,2019-06-14 10:31:00,1,type1
cash-in,37177,70964,362164,2019-07-16 13:13:00,1,type1
cash-in,37177,63029,362164,2019-04-15 12:00:00,1,type1
cash-in,37177,80337,362164,2019-03-15 13:43:00,1,type1
cash-in,37177,14656,362164,2019-05-26 13:50:00,1,type1
cash-in,37177,89730,362164,2019-07-11 09:22:00,1,type1
cash-in,37177,93055,362164,2019-04-20 13:19:00,1,type1
cash-in,37177,68699,362164,2019-03-15 12:50:00,1,type1
cash-in,37177,68229,362164,2019-04-12 14:04:00,1,type1
cash-in,37177,13407,362164,2019-05-06 10:43:00,1,type1
cash-in,37177,887,362164,2019-06-22 15:41:00,1,type1
cash-in,37177,48011,362164,2019-05-21 10:25:00,1,type1
cash-in,37177,3092,362164,2019-04-11 13:18:00,1,type1
cash-in,37177,57772,362164,2019-03-03 12:57:00,1,type1
cash-in,37177,31269,362164,2019-07-05 11:30:00,1,type1
cash-in,37177,69355,362164,2019-06-13 12:34:00,1,type1
cash-in,37177,9363,362164,2019-03-02 10:13:00,1,type1
cash-in,37177,30714,362164,2019-07-06 10:29:00,1,type1
cash-in,37177,39631,362164,2019-02-23 09:54:00,1,type1
cash-in,37177,33994,362164,2019-07-10 15:04:00,1,type1
cash-in,37177,96016,362164,2019-03-17 11:53:00,1,type1
cash-in,37177,67648,362164,2019-03-30 13:38:00,1,type1
cash-in,31439,89434,554345,2019-06-11 11:22:00,1,type1
cash-in,31439,90146,554345,2019-04-28 08:03:00,1,type1
cash-in,31439,8611,554345,2019-04-03 09:39:00,1,type1
cash-in,31439,3183,554345,2019-05-22 08:33:00,1,type1
cash-in,31439,18533,554345,2019-07-03 13:00:00,1,type1
cash-in,31439,6470,554345,2019-04-30 13:51:00,1,type1
cash-in,31439,27405,554345,2019-07-01 14:49:00,1,type1
cash-in,31439,97140,554345,2019-05-02 10:37:00,1,type1
cash-in,31439,58911,554346,2019-05-07 15:56:00,1,type1
cash-in,31439,20213,554346,2019-05-24 13:06:00,1,type1
cash-in,31439,17450,554346,2019-04-14 13:51:00,1,type1
cash-in,31439,63072,554346,2019-02-28 15:48:00,1,type1
cash-in,31439,84089,554346,2019-04-19 12:58:00,1,type1
cash-in,31439,42081,554346,2019-02-27 13:07:00,1,type1
cash-in,84352,79147,640046,2019-06-13 09:54:00,1,type1
cash-in,84352,80053,640046,2019-02-21 08:30:00,1,type1
cash-in,84352,61309,640047,2019-04-19 10:45:00,1,type1
cash-in,84352,54502,640047,2019-06-05 10:09:00,1,type1
cash-in,84352,94793,640047,2019-06-19 09:11:00,1,type1
cash-in,84352,24728,640047,2019-03-13 09:45:00,1,type1
cash-in,84352,36919,640047,2019-06-28 09:20:00,1,type1
cash-in,84352,46738,640047,2019-06-14 09:13:00,1,type1
cash-in,84352,62404,640047,2019-04-08 15:36:00,1,type1
cash-in,84352,49860,640047,2019-07-15 15:00:00,1,type1
cash-in,84352,9117,640047,2019-06-06 08:18:00,1,type1
cash-in,95615,43405,708894,2019-04-29 08:54:00,1,type1
cash-in,95615,97885,708894,2019-03-06 10:57:00,1,type1
cash-in,95615,15768,708894,2019-05-29 14:24:00,1,type1
cash-in,95615,13218,708894,2019-03-10 12:09:00,1,type1
cash-in,95615,93239,708894,2019-05-30 13:15:00,1,type1
cash-in,95615,20217,708895,2019-03-16 15:01:00,1,type1
cash-in,95615,13591,708895,2019-06-28 14:12:00,1,type1
cash-in,95615,65665,708895,2019-02-21 13:04:00,1,type1
cash-in,95615,27376,708895,2019-03-23 13:58:00,1,type1
cash-in,95615,1638,708895,2019-04-26 11:53:00,1,type1
cash-in,95615,35853,708895,2019-06-10 13:31:00,1,type1
cash-in,95615,70742,708895,2019-03-19 11:54:00,1,type1
cash-in,41220,39061,1769355,2019-06-24 14:07:00,1,type1
cash-in,41220,48727,1769355,2019-04-22 13:08:00,1,type1
cash-in,41220,21809,1769355,2019-04-03 14:12:00,1,type1
cash-in,41220,26639,1769356,2019-06-03 10:35:00,1,type1
cash-in,39284,62427,274171,2019-06-08 08:35:00,1,type1
cash-in,39284,87467,274171,2019-03-22 12:24:00,1,type1
cash-in,39284,53948,274171,2019-05-20 10:31:00,1,type1
cash-in,39284,5032,274171,2019-06-10 08:50:00,1,type1
cash-in,39284,68774,274171,2019-06-11 09:39:00,1,type1
cash-in,39284,40321,274171,2019-03-25 11:15:00,1,type1
cash-in,39284,95596,274171,2019-06-17 08:56:00,1,type1
cash-in,39284,2955,274171,2019-06-24 12:30:00,1,type1
cash-in,39284,91794,274171,2019-07-09 08:05:00,1,type1
cash-in,39284,45479,274171,2019-06-25 09:17:00,1,type1
cash-in,39284,63272,274171,2019-03-09 15:45:00,1,type1
cash-in,39284,67144,274171,2019-07-04 09:31:00,1,type1
cash-in,39284,7228,274171,2019-05-06 12:59:00,1,type1
cash-in,39284,47704,274171,2019-06-23 15:43:00,1,type1
cash-in,39284,74691,274171,2019-06-18 10:32:00,1,type1
cash-in,39284,4429,274171,2019-07-03 14:11:00,1,type1
cash-in,39284,13670,274171,2019-07-01 11:54:00,1,type1
cash-in,39284,85867,274171,2019-07-12 14:38:00,1,type1
cash-in,39284,18192,274171,2019-06-07 11:16:00,1,type1
cash-in,39284,28414,274171,2019-07-19 10:59:00,1,type1
cash-in,39284,55092,274171,2019-03-22 11:36:00,1,type1
cash-in,39284,4394,274171,2019-03-30 08:16:00,1,type1
cash-in,39284,74901,274171,2019-06-23 11:35:00,1,type1
cash-in,39284,2683,274171,2019-06-28 12:27:00,1,type1
cash-in,39284,87826,274171,2019-02-21 11:08:00,1,type1
cash-in,39284,13963,274171,2019-03-06 15:23:00,1,type1
cash-in,39284,29925,274171,2019-07-10 10:07:00,1,type1
cash-in,39284,61097,274172,2019-03-04 12:59:00,1,type1
cash-in,39284,13638,274172,2019-06-01 12:21:00,1,type1
cash-in,82688,77924,292038,2019-05-31 11:17:00,1,type1
cash-in,82688,91706,292038,2019-02-27 14:21:00,1,type1
cash-in,82688,87880,292038,2019-03-31 13:40:00,1,type1
cash-in,82688,18305,292038,2019-05-31 11:10:00,1,type1
cash-in,82688,74062,292038,2019-05-05 08:47:00,1,type1
cash-in,82688,83006,292038,2019-05-23 09:58:00,1,type1
cash-in,82688,39778,292038,2019-05-30 14:01:00,1,type1
cash-in,82688,32368,292038,2019-04-20 11:43:00,1,type1
cash-in,82688,12943,292038,2019-03-12 11:23:00,1,type1
cash-in,82688,67262,292038,2019-04-13 09:31:00,1,type1
cash-in,82688,48186,292038,2019-06-05 13:29:00,1,type1
cash-in,82688,6015,292038,2019-06-30 14:10:00,1,type1
cash-in,82688,34921,292038,2019-04-11 12:49:00,1,type1
cash-in,82688,28976,292038,2019-04-29 08:30:00,1,type1
cash-in,82688,16779,292038,2019-06-09 11:07:00,1,type1
cash-in,82688,88240,292038,2019-02-28 09:05:00,1,type1
cash-in,82688,4870,292038,2019-04-09 15:22:00,1,type1
cash-in,82688,32981,292038,2019-07-14 14:36:00,1,type1
cash-in,82688,75676,292038,2019-03-29 08:30:00,1,type1
cash-in,82688,69388,292038,2019-04-08 12:36:00,1,type1
cash-in,82688,97318,292038,2019-04-11 11:33:00,1,type1
cash-in,82688,42411,292039,2019-04-04 10:15:00,1,type1
cash-in,82688,13222,292039,2019-06-08 08:56:00,1,type1
cash-in,82688,99496,292039,2019-04-30 14:52:00,1,type1
cash-in,82688,1932,292039,2019-03-25 13:28:00,1,type1
cash-in,30965,80135,398394,2019-03-27 11:40:00,1,type1
cash-in,30965,88488,398394,2019-06-06 09:03:00,1,type1
cash-in,30965,57075,398394,2019-06-15 11:46:00,1,type1
cash-in,30965,40167,398394,2019-03-26 11:36:00,1,type1
cash-in,30965,24981,398394,2019-02-24 13:54:00,1,type1
cash-in,30965,57149,398394,2019-06-01 10:16:00,1,type1
cash-in,30965,14030,398394,2019-05-28 14:26:00,1,type1
cash-in,30965,45553,398394,2019-06-18 11:01:00,1,type1
cash-in,30965,80750,398394,2019-05-09 11:35:00,1,type1
cash-in,30965,49600,398394,2019-05-26 12:00:00,1,type1
cash-in,30965,93262,398394,2019-04-06 11:52:00,1,type1
cash-in,30965,25307,398394,2019-04-14 12:31:00,1,type1
cash-in,30965,63112,398394,2019-04-23 12:41:00,1,type1
cash-in,30965,14080,398394,2019-04-19 13:14:00,1,type1
cash-in,30965,95733,398394,2019-06-02 12:03:00,1,type1
cash-in,30965,63228,398394,2019-05-01 14:14:00,1,type1
cash-in,30965,4845,398394,2019-07-07 08:14:00,1,type1
cash-in,30965,45785,398395,2019-07-02 09:50:00,1,type1
cash-in,30965,74470,398395,2019-07-05 10:15:00,1,type1
cash-in,30965,32822,398395,2019-06-20 13:29:00,1,type1
cash-in,30965,23309,398395,2019-03-10 15:42:00,1,type1
cash-in,72032,68884,391866,2019-06-16 13:47:00,1,type1
cash-in,72032,35234,391866,2019-04-30 10:05:00,1,type1
cash-in,72032,44712,391866,2019-05-01 08:56:00,1,type1
cash-in,72032,21863,391867,2019-06-12 14:25:00,1,type1
cash-in,72032,30284,391867,2019-04-14 12:17:00,1,type1
cash-in,72032,68776,391867,2019-04-20 10:38:00,1,type1
cash-in,72032,77528,391867,2019-06-19 15:56:00,1,type1
cash-in,72032,13268,391867,2019-07-20 13:12:00,1,type1
cash-in,72032,12595,391867,2019-04-07 11:56:00,1,type1
cash-in,72032,27847,391867,2019-06-11 09:38:00,1,type1
cash-in,72032,15477,391867,2019-03-23 10:22:00,1,type1
cash-in,72032,57885,391867,2019-02-23 09:56:00,1,type1
cash-in,72032,76683,391867,2019-02-24 10:40:00,1,type1
cash-in,72032,45427,391867,2019-03-05 13:32:00,1,type1
cash-in,72032,92818,391867,2019-02-22 11:21:00,1,type1
cash-in,72032,49478,391867,2019-06-13 14:46:00,1,type1
cash-in,72032,67354,391867,2019-05-13 15:16:00,1,type1
cash-in,72032,44038,391867,2019-03-20 08:23:00,1,type1
cash-in,72032,31247,391867,2019-05-18 15:35:00,1,type1
cash-in,72032,82095,391867,2019-06-25 10:49:00,1,type1
cash-in,72032,63396,391867,2019-05-08 09:22:00,1,type1
cash-in,24041,96977,322413,2019-03-03 12:37:00,1,type1
cash-in,24041,33426,322413,2019-04-02 08:53:00,1,type1
cash-in,24041,46541,322413,2019-07-10 13:44:00,1,type1
cash-in,24041,23893,322413,2019-04-28 13:26:00,1,type1
cash-in,24041,86853,322413,2019-04-05 12:11:00,1,type1
cash-in,24041,45493,322413,2019-02-25 08:14:00,1,type1
cash-in,24041,33601,322413,2019-03-09 11:02:00,1,type1
cash-in,24041,16524,322413,2019-04-30 08:56:00,1,type1
cash-in,24041,56913,322413,2019-04-21 08:02:00,1,type1
cash-in,24041,36891,322413,2019-04-04 10:36:00,1,type1
cash-in,24041,18626,322413,2019-06-16 12:39:00,1,type1
cash-in,24041,1666,322413,2019-04-18 09:55:00,1,type1
cash-in,24041,34756,322413,2019-06-25 11:31:00,1,type1
cash-in,24041,66669,322413,2019-03-30 10:14:00,1,type1
cash-in,24041,55422,322413,2019-07-13 08:32:00,1,type1
cash-in,24041,39060,322413,2019-02-26 14:51:00,1,type1
cash-in,24041,88176,322413,2019-06-06 10:39:00,1,type1
cash-in,24041,21197,322413,2019-05-20 10:43:00,1,type1
cash-in,24041,92217,322414,2019-04-08 08:26:00,1,type1
cash-in,24041,39661,322414,2019-05-23 09:37:00,1,type1
cash-in,24041,56984,322414,2019-03-20 08:02:00,1,type1
cash-in,24041,9570,322414,2019-03-10 11:16:00,1,type1
cash-in,24041,49937,322414,2019-04-11 09:23:00,1,type1
cash-in,82410,59581,713808,2019-05-25 11:41:00,1,type1
cash-in,82410,21955,713809,2019-03-05 11:52:00,1,type1
cash-in,82410,15915,713809,2019-06-17 11:46:00,1,type1
cash-in,82410,94012,713809,2019-07-05 12:23:00,1,type1
cash-in,82410,25362,713809,2019-06-10 10:57:00,1,type1
cash-in,82410,27412,713809,2019-04-15 15:30:00,1,type1
cash-in,82410,79849,713809,2019-04-20 13:09:00,1,type1
cash-in,82410,26063,713809,2019-05-05 08:32:00,1,type1
cash-in,82410,77984,713809,2019-05-04 10:08:00,1,type1
cash-in,82410,41940,713809,2019-02-27 14:20:00,1,type1
cash-in,82410,88645,713809,2019-03-18 10:03:00,1,type1
cash-in,82410,87881,713809,2019-02-23 14:43:00,1,type1
cash-in,24441,12242,2954186,2019-07-15 14:39:00,1,type1
cash-in,24441,23236,2954186,2019-03-31 09:19:00,1,type1
cash-in,24441,94201,2954186,2019-04-20 15:25:00,1,type1
cash-in,43439,91672,502828,2019-05-12 08:49:00,1,type1
cash-in,43439,36605,502828,2019-07-05 13:05:00,1,type1
cash-in,43439,82179,502828,2019-03-13 13:56:00,1,type1
cash-in,43439,12117,502828,2019-07-05 15:19:00,1,type1
cash-in,43439,53631,502828,2019-06-17 13:58:00,1,type1
cash-in,43439,48679,502828,2019-07-06 14:15:00,1,type1
cash-in,43439,13115,502828,2019-02-27 08:18:00,1,type1
cash-in,43439,63955,502828,2019-03-14 08:13:00,1,type1
cash-in,43439,16638,502828,2019-04-02 08:35:00,1,type1
cash-in,43439,46827,502828,2019-05-20 11:02:00,1,type1
cash-in,43439,46060,502828,2019-06-16 11:05:00,1,type1
cash-in,43439,60266,502828,2019-03-11 10:29:00,1,type1
cash-in,43439,5029,502828,2019-03-05 09:32:00,1,type1
cash-in,43439,62290,502828,2019-07-13 10:57:00,1,type1
cash-in,43439,89414,502828,2019-04-08 15:25:00,1,type1
cash-in,43439,94137,502828,2019-04-04 15:36:00,1,type1
cash-in,43439,58551,502828,2019-03-28 11:29:00,1,type1
cash-in,43439,71167,502828,2019-07-20 08:52:00,1,type1
cash-in,69208,42692,372321,2019-07-05 14:17:00,1,type1
cash-in,69208,54010,372321,2019-06-12 08:40:00,1,type1
cash-in,69208,44409,372321,2019-03-21 11:36:00,1,type1
cash-in,69208,94632,372321,2019-04-28 15:59:00,1,type1
cash-in,69208,51747,372321,2019-04-20 09:29:00,1,type1
cash-in,69208,21453,372321,2019-07-02 12:59:00,1,type1
cash-in,69208,42627,372321,2019-04-01 08:20:00,1,type1
cash-in,69208,97637,372321,2019-03-03 09:51:00,1,type1
cash-in,69208,66062,372321,2019-03-15 09:08:00,1,type1
cash-in,69208,71259,372321,2019-05-02 11:48:00,1,type1
cash-in,69208,55007,372321,2019-03-11 12:28:00,1,type1
cash-in,69208,62050,372321,2019-07-02 09:01:00,1,type1
cash-in,69208,23494,372321,2019-02-21 15:02:00,1,type1
cash-in,69208,38720,372321,2019-05-30 08:05:00,1,type1
cash-in,69208,24349,372321,2019-04-14 15:30:00,1,type1
cash-in,69208,7654,372321,2019-06-03 11:52:00,1,type1
cash-in,69208,85699,372321,2019-07-20 09:32:00,1,type1
cash-in,69208,98036,372321,2019-03-13 09:26:00,1,type1
cash-in,69208,32455,372321,2019-02-26 13:00:00,1,type1
cash-in,69208,91032,372321,2019-06-28 11:23:00,1,type1
cash-in,69208,6897,372321,2019-05-11 08:11:00,1,type1
cash-in,69208,51077,372321,2019-06-12 13:48:00,1,type1
cash-in,69208,13633,372321,2019-07-05 10:44:00,1,type1
cash-in,69208,48273,372322,2019-06-16 08:31:00,1,type1
cash-in,71475,10234,1002226,2019-03-09 14:44:00,1,type1
cash-in,71475,75572,1002226,2019-04-26 08:32:00,1,type1
cash-in,71475,50788,1002226,2019-04-04 14:20:00,1,type1
cash-in,71475,8847,1002226,2019-05-03 11:51:00,1,type1
cash-in,71475,34483,1002227,2019-05-15 13:29:00,1,type1
cash-in,71475,72492,1002227,2019-02-22 15:30:00,1,type1
cash-in,71475,54332,1002227,2019-04-29 08:22:00,1,type1
cash-in,75076,30252,420044,2019-03-28 12:37:00,1,type1
cash-in,75076,50080,420044,2019-05-02 14:27:00,1,type1
cash-in,75076,98057,420044,2019-07-11 09:29:00,1,type1
cash-in,75076,30180,420044,2019-07-17 15:43:00,1,type1
cash-in,75076,92527,420044,2019-03-25 10:47:00,1,type1
cash-in,75076,24618,420044,2019-07-09 13:48:00,1,type1
cash-in,75076,6644,420044,2019-06-09 11:51:00,1,type1
cash-in,75076,24841,420044,2019-07-16 10:33:00,1,type1
cash-in,75076,20067,420044,2019-04-13 14:49:00,1,type1
cash-in,75076,6646,420044,2019-05-20 15:04:00,1,type1
cash-in,75076,90581,420044,2019-05-18 14:48:00,1,type1
cash-in,75076,50112,420044,2019-05-23 08:02:00,1,type1
cash-in,75076,75668,420044,2019-05-12 12:47:00,1,type1
cash-in,75076,66439,420044,2019-04-18 14:58:00,1,type1
cash-in,75076,16595,420044,2019-07-06 08:43:00,1,type1
cash-in,75076,71373,420045,2019-03-19 08:35:00,1,type1
cash-in,75076,49051,420045,2019-04-30 10:53:00,1,type1
cash-in,75076,34544,420045,2019-02-21 08:23:00,1,type1
cash-in,75076,1512,420045,2019-07-07 15:39:00,1,type1
cash-in,82930,82726,779884,2019-04-01 12:23:00,1,type1
cash-in,82930,72794,779884,2019-03-22 14:42:00,1,type1
cash-in,82930,43090,779884,2019-05-16 12:35:00,1,type1
cash-in,82930,16422,779884,2019-05-15 15:58:00,1,type1
cash-in,82930,85116,779884,2019-04-08 12:03:00,1,type1
cash-in,82930,83961,779884,2019-03-26 13:41:00,1,type1
cash-in,82930,29156,779884,2019-03-05 10:46:00,1,type1
cash-in,82930,89577,779884,2019-07-12 10:17:00,1,type1
cash-in,82930,45031,779884,2019-03-12 08:45:00,1,type1
cash-in,82930,67096,779885,2019-06-23 12:50:00,1,type1
cash-in,13919,53522,323248,2019-07-13 15:41:00,1,type1
cash-in,13919,61430,323248,2019-07-01 12:48:00,1,type1
cash-in,13919,33512,323248,2019-07-05 13:33:00,1,type1
cash-in,13919,45513,323248,2019-05-18 14:37:00,1,type1
cash-in,13919,90767,323248,2019-04-28 08:49:00,1,type1
cash-in,13919,11846,323248,2019-04-06 08:44:00,1,type1
cash-in,13919,25667,323248,2019-07-14 09:30:00,1,type1
cash-in,13919,27636,323248,2019-05-03 08:56:00,1,type1
cash-in,13919,63975,323248,2019-05-25 10:16:00,1,type1
cash-in,13919,50139,323248,2019-05-22 08:25:00,1,type1
cash-in,13919,86945,323248,2019-03-24 12:32:00,1,type1
cash-in,13919,87092,323248,2019-04-16 14:33:00,1,type1
cash-in,13919,68015,323248,2019-03-27 12:41:00,1,type1
cash-in,13919,79614,323248,2019-04-09 15:24:00,1,type1
cash-in,13919,31440,323248,2019-05-14 08:03:00,1,type1
cash-in,13919,57534,323248,2019-04-28 14:12:00,1,type1
cash-in,13919,26472,323248,2019-02-24 12:33:00,1,type1
cash-in,13919,6984,323248,2019-04-04 09:07:00,1,type1
cash-in,13919,33911,323248,2019-05-03 09:20:00,1,type1
cash-in,13919,44716,323248,2019-03-16 15:52:00,1,type1
cash-in,13919,57919,323248,2019-04-29 10:50:00,1,type1
cash-in,13919,95350,323248,2019-05-23 13:39:00,1,type1
cash-in,13919,95241,323248,2019-04-25 13:29:00,1,type1
cash-in,13919,59719,323249,2019-07-05 08:52:00,1,type1
cash-in,8764,60280,2124536,2019-04-20 09:35:00,0,none
cash-in,76487,57212,3973331,2019-03-18 12:04:00,0,none
cash-in,37401,37131,4689663,2019-07-08 11:08:00,0,none
cash-in,5490,51446,6080470,2019-04-01 13:40:00,0,none
cash-in,4859,19283,277215,2019-04-14 08:02:00,0,none
cash-in,13983,54664,4793288,2019-07-14 14:38:00,0,none
cash-in,41370,78452,6531605,2019-06-01 11:04:00,0,none
cash-in,44836,49597,1893610,2019-06-28 13:40:00,0,none
cash-in,19236,29620,1457754,2019-06-24 15:41:00,0,none
cash-in,11620,41819,6086012,2019-05-21 13:12:00,0,none
cash-in,16286,61097,2501756,2019-05-18 15:52:00,0,none
